clarity_id,metric,metric_year,provider_code,clarity_industry_code,clarity_industry_name,country_code,co2directscope1_raw,revenue,co2directscope1_intensity,verification_co2directscope1,targets_emissions,policy_emissions,sbti_alignment,nz_statement
01FF543VKXVS947FXNJD7X6P7K,CO2DIRECTSCOPE1,2019,TRC1,20201010/0,Commercial Printing,JP,30980019.25,1580236.2976075043,19.604675134284726,100,100,100,100,100
01FF543SR64Z1TKAYNVPQ3NCRE,CO2DIRECTSCOPE1,2008,TRC8,40301020/0,Life & Health Insurance,US,1298830.0,1305027.5,0.995251057927898,,100,100,,
01FF543T9C0B7P3VAVD7AJDZ6W,CO2DIRECTSCOPE1,2014,TRC8,35101010/0,Health Care Equipment,JP,12091482.287753476,389473.8774891169,31.045682359252318,,100,100,100,100
01FF543SJ7TZY7Q0H1HZS2D8TG,CO2DIRECTSCOPE1,2019,TRC1,20106020/0,Industrial Machinery & Supplies & Components,GB,17825001.9875,114904.67072531456,155.12861117814413,100,1,100,100,1
01FF543RG9R3GT4C16TCG2D3Y9,CO2DIRECTSCOPE1,2021,TRC8,30202010/0,Agricultural Products & Services,US,1707250015.0,10657765.0,160.18837110782607,100,100,100,1,1
01FF543W0DCV4W0P6E1A547DX9,CO2DIRECTSCOPE1,2011,TRC1,30202030/0,Packaged Foods & Meats,BR,248489482.0,1553546.5648693764,159.94981265392147,,100,100,1,100
01FF543TFWGWXV3HSKA6NSCWM0,CO2DIRECTSCOPE1,2007,TRC1,40101015/0,Regional Banks,JP,367740.226625,84374.97946707734,4.358403746557239,,100,100,,100
01FF543RYA77DTH28ZVQ5FDTYP,CO2DIRECTSCOPE1,2009,TRC8,10102010/0,Integrated Oil & Gas,GB,8148308802.5,29909019.232572738,272.43650950700504,,100,100,,100
01FF543S6T2FKBMF6QR6TD1GTA,CO2DIRECTSCOPE1,2014,TRC8,15102010/0,Construction Materials,JP,1245593.2625,87446.58470163931,14.244047000232927,,100,100,,1
01FF543W6VPDKG3CYPW6SKDBY4,CO2DIRECTSCOPE1,2014,TRC8,40101010/0,Diversified Banks,IT,8443009.094415786,1269769.5888333975,6.649245003711903,,100,100,,100
01FF543VEJWX3N7HBJK6DAKWAX,CO2DIRECTSCOPE1,2020,TRC1,20104010/0,Electrical Components & Equipment,JP,22142167.0,1051653.8896096102,21.054614278295976,100,100,100,100,100
01FF543VEKN70AYE4CGAEVW51Q,CO2DIRECTSCOPE1,2019,TRC8,25504010/0,Apparel Retail,US,814199.375,452899.125,1.7977499404530755,,100,100,1,
01FF543SZRQC1EHFN7600CG25E,CO2DIRECTSCOPE1,2015,TRC1,60104010/0,Office REITs,FR,918255.325,77661.37760068102,11.823835133616631,,100,100,100,100
01FF543TY6TPSMGQK4DZJFKWAS,CO2DIRECTSCOPE1,2014,TRC8,10102030/0,Oil & Gas Refining & Marketing,AU,213073135.1010117,1968158.8643230775,108.26013029913386,,100,100,,
01FF543WCPG3PDTN728S7E37EW,CO2DIRECTSCOPE1,2008,TRC8,20305010/0,Airport Services,CH,3232227.0724353753,120853.08205796157,26.745094269794357,,100,100,,
01FF543RKATNHYZDSNTXW2P5SN,CO2DIRECTSCOPE1,2016,TRC1,25101010/0,Automotive Parts & Equipment,JP,6339427.3325000005,1534767.0426808447,4.130546953514616,,100,100,1,100
01FF543VNR35NSY2BHNS13XWMC,CO2DIRECTSCOPE1,2020,TRC8,45301020/0,Semiconductors,US,430896.25,337410.0,1.2770701816780772,,1,100,100,1
